Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JAN-2022,11566,11680.75,11564.7,11673.45,746862473,10219.28
04-JAN-2022,11718.9,11743.45,11632.75,11702.1,635271364,11407.44
05-JAN-2022,11712.6,11735.05,11649.25,11705.05,592893925,12338.26
06-JAN-2022,11627.95,11706.1,11574.7,11698.7,668378347,11448.43
07-JAN-2022,11725.95,11776.75,11671.25,11741.95,615803700,12305.56
10-JAN-2022,11790.25,11836.95,11778.15,11820.4,567874389,11065.57
11-JAN-2022,11820.75,11888.1,11800.65,11839.3,2433730894,13692.32
12-JAN-2022,11902.25,11988.2,11878.25,11980.05,1198046121,13300.2
13-JAN-2022,12014.1,12052.2,11931.35,12039.9,589451774,11377.89
14-JAN-2022,12010.85,12070.4,11967.2,12036.1,504922734,12681.04
17-JAN-2022,12063.7,12095.3,12038.65,12073.15,493195313,10949.4
18-JAN-2022,12126.35,12138.2,11815.2,11848.7,515028297,11811.97
19-JAN-2022,11836.8,11847.05,11692.05,11830.6,530778837,13046.01
20-JAN-2022,11826.95,11867.7,11749.45,11801.2,410330068,11474.12
21-JAN-2022,11745.3,11765.6,11474,11551.65,504588343,14106.53
24-JAN-2022,11547.7,11556.15,11012.35,11125.05,765038383,15013.11
25-JAN-2022,11015.25,11230.85,10834.75,11221.2,819361865,15392.21
27-JAN-2022,11146.8,11146.8,10961.5,11095.15,840171075,15937.5
28-JAN-2022,11175.25,11412.7,11174,11242.35,804123759,16367.03
31-JAN-2022,11368.3,11434.5,11339.55,11413.65,624108651,13184
01-FEB-2022,11519.65,11539.8,11366.2,11531.3,759994289,15648.95
02-FEB-2022,11589.6,11676.95,11581,11661.7,856266161,12469.69
03-FEB-2022,11660.15,11660.3,11523.85,11547.6,668425431,12627.41
04-FEB-2022,11549.45,11578.55,11446.25,11459.35,715215700,12519.85
07-FEB-2022,11486,11521.35,11306.8,11357.55,577754157,11258.53
08-FEB-2022,11399.65,11429.75,11162.1,11268.15,605347855,12777.08
09-FEB-2022,11323.25,11405.5,11305.6,11394,478723108,10184.69
