Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2023,11923.3,11979,11877.75,11970.3,1082067734,9938.65
03-JAN-2023,11995.9,12025.5,11958.65,11994.4,992033216,9874.45
04-JAN-2023,12013.45,12030,11848.45,11886.95,1045613161,9722.35
05-JAN-2023,11925.5,11941.45,11849.1,11932.85,757276879,9642.83
06-JAN-2023,11949.75,11959.3,11807.8,11850.6,739837401,9050.01
09-JAN-2023,11934.5,11964.4,11882.05,11948.9,746824960,8144.28
10-JAN-2023,11966.5,11966.5,11836.1,11899.55,719269394,8677.04
11-JAN-2023,11925.85,11940.05,11847.05,11862.85,698040792,8808.68
12-JAN-2023,11900.05,11900.15,11792.5,11836.4,637365126,8050.85
13-JAN-2023,11862.4,11862.7,11765.9,11830.4,745883773,9311.33
16-JAN-2023,11858.35,11895,11788.3,11800.3,794000806,9030.88
17-JAN-2023,11820.9,11826.05,11721.2,11793.6,659038792,8487.49
18-JAN-2023,11818.75,11851.95,11784.8,11843.7,555328063,8194.21
19-JAN-2023,11816.35,11848.95,11787.4,11832.35,628288957,8428.45
20-JAN-2023,11836.4,11847,11737.8,11748.95,582317585,8829.07
23-JAN-2023,11767.35,11780.7,11720.15,11771.05,946972808,9298.99
24-JAN-2023,11790.05,11807.25,11714.05,11729.9,600136167,8719.39
25-JAN-2023,11717.25,11718.15,11550.15,11583.2,683188702,9054.02
27-JAN-2023,11604.1,11619.65,11314.15,11439.6,888162025,11912.13
30-JAN-2023,11427,11528.45,11343.2,11422.3,859217769,9407.68
31-JAN-2023,11455.8,11618.95,11388.65,11596.65,778571086,10550.46
01-FEB-2023,11685.55,11767.7,11318.7,11497.65,963286517,13826.67
02-FEB-2023,11458.1,11579.5,11420.55,11518.05,731535885,10183.32
03-FEB-2023,11548.35,11568.35,11348.6,11504.7,768655973,9140.03
06-FEB-2023,11505.75,11616.9,11493.35,11602.95,1237030093,9110.1
07-FEB-2023,11621.1,11635.4,11545.85,11601.6,671511163,9096.11
08-FEB-2023,11626.5,11711.9,11586.55,11699.35,578853447,8936.49
09-FEB-2023,11721.55,11730.15,11670.55,11709.45,470874063,9084.86
