Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
,,,,,895460021,6506.91
,,,,,795250022,6668.39
,,,,,613600488,7020.17
,,,,,837839003,7929.5
,,,,,838080974,8605.57
,,,,,622973164,8428.54
,,,,,560756942,6939.5
,,,,,605311742,7336.94
,,,,,512200140,7327.34
,,,,,568514222,7466.47
,,,,,496787062,6139.8
,,,,,686576903,7629.59
,,,,,721488282,7935.51
,,,,,682648127,8147.68
,,,,,499185178,7874.72
,,,,,360664423,7661.93
,,,,,604017227,9795.01
,,,,,449336647,8660.06
,,,,,597437091,9717.55
,,,,,404387200,6955.86
,,,,,613653838,7913.98
,,,,,480464478,9051.81
,,,,,498437739,7587.19
,,,,,746298525,12790.87
,,,,,542844578,9181.61
,,,,,511999425,8451.71
,,,,,414706919,6715.91
,,,,,411735987,6990.64
,,,,,414094604,6537.86
,,,,,407527844,6105.4
,,,,,466740528,6879.24
,,,,,390161356,6364.48
,,,,,348448347,5890.44
,,,,,417673325,6724.6
,,,,,331766275,5632.18
,,,,,309430263,5564.88
,,,,,451974149,7158.93
,,,,,382492945,7790.34
,,,,,454387155,6809.27
,,,,,352576073,5706.66
,,,,,409490075,6418.03
,,,,,352922076,5879.21
,,,,,454123260,6982.82
,,,,,483965892,7090.85
,,,,,548749592,7086.27
,,,,,535653874,6758.13
,,,,,441815351,5952.35
,,,,,451626588,6147
,,,,,549859684,7948.43
,,,,,503815951,6942.31
,,,,,468696920,6981.39
,,,,,549550014,7747.78
,,,,,409082944,5775.3
,,,,,400948836,6379.68
,,,,,439613200,6436.99
,,,,,424180321,6247.75
,,,,,450418751,6432.19
,,,,,454869698,6307.8
,,,,,426508799,6686
,,,,,536301941,7265.06
,,,,,324645400,5700.33
,,,,,411441820,6833.78
,,,,,327616640,6102.9
,,,,,411542965,6476.11
,,,,,312338292,5942.67
,,,,,325808021,5994.6
,,,,,329525882,7067.17
,,,,,383963163,6299.22
,,,,,317166211,6250.37
,,,,,313863336,6750.54
,,,,,288579565,6812.06
,,,,,352512479,7124.94
,,,,,324335234,6384.59
,,,,,340436879,7499.55
,,,,,277030694,7119.94
,,,,,337613109,7071.6
,,,,,330386183,7824.53
,,,,,452487230,9704.3
,,,,,327769509,7015.52
,,,,,371726350,8117.92
,,,,,410708687,8458.12
,,,,,463849423,8372.4
,,,,,429117572,8582.24
,,,,,413968293,9729.35
,,,,,454410767,11498.01
,,,,,336478510,8273.79
,,,,,445333042,8100.83
,,,,,351442136,7740.73
,,,,,376848044,8198.36
,,,,,383489953,6784.26
,,,,,349010368,6835.8
,,,,,305318859,5804.08
,,,,,294327798,6666.7
,,,,,275501752,6325.05
,,,,,282131894,6188.92
,,,,,294834371,6027.75
,,,,,258885815,5362.75
,,,,,284708681,6234.11
,,,,,307620248,6047.8
,,,,,262816774,5198.2
,,,,,285207709,6348.61
,,,,,619587688,9422.73
,,,,,485690471,6039.92
,,,,,302255736,5196.14
,,,,,485110445,7913.14
,,,,,347450934,5994.64
,,,,,370841286,6160.01
,,,,,272089829,5909
,,,,,314320293,5964.31
,,,,,244844289,5336.57
,,,,,341724297,6724.36
,,,,,285200365,5836.23
,,,,,314700345,6795.58
,,,,,229814704,4553.54
,,,,,247860562,5214.15
,,,,,210787714,4803.47
,,,,,219243296,4674.52
,,,,,268848315,5367.57
,,,,,261425125,5111.03
