Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
,,,,,996020521,6054.79
,,,,,909632561,6670.01
,,,,,624519066,6638.23
,,,,,647485165,7105.65
,,,,,744776624,7271.49
,,,,,631611164,7994.63
,,,,,650698471,7576.77
,,,,,615064878,8069.88
,,,,,590598585,8340.13
,,,,,754682717,8352.15
,,,,,548600655,7296.74
,,,,,597796966,8024.78
,,,,,595268754,6911.08
,,,,,614000352,7116.84
,,,,,462382028,6135.51
,,,,,547496039,6025.2
,,,,,423444458,6598.76
,,,,,412352310,6618.56
,,,,,392078933,5343.94
,,,,,345324456,4375.2
,,,,,381255490,4826.33
,,,,,350518724,4992.75
,,,,,444684620,6607.7
,,,,,592768139,7316.23
,,,,,486082512,5660.24
,,,,,529424278,6334.13
,,,,,382266743,5103.1
,,,,,406328368,5291.9
,,,,,393588752,5332.89
,,,,,373062983,5067.49
,,,,,440769287,5832.88
,,,,,337774535,5026.07
,,,,,306207637,4332.38
,,,,,322156981,4120.05
,,,,,265059956,3543.01
,,,,,253158460,3460.12
,,,,,331971278,3981.2
,,,,,440582532,4092.96
,,,,,399879886,4509.07
,,,,,284824905,3728.86
,,,,,286447542,3840.17
,,,,,246732399,3462.03
,,,,,274657346,3715.39
,,,,,299019054,3745.96
,,,,,448704163,4320.26
,,,,,432792699,4632.32
,,,,,330870306,3436.64
,,,,,405052411,3695.49
,,,,,460667657,4458.01
,,,,,388338545,3773.9
,,,,,565058914,4790.27
,,,,,654363327,5559.76
,,,,,398622521,3677.1
,,,,,446897148,3924.14
,,,,,378927342,4381.97
,,,,,404167083,3708.91
,,,,,456680727,3794.16
,,,,,455242439,4113.73
,,,,,371375800,3774.2
,,,,,454951479,4711.31
,,,,,525250626,5537.16
,,,,,645409265,6135.97
,,,,,575419783,4756
,,,,,553708771,4901.44
,,,,,366395925,4316.22
,,,,,390723901,3923.75
,,,,,425772428,3958.99
,,,,,348430395,4503.03
,,,,,342923307,4135.96
,,,,,359764212,3859.54
,,,,,343126631,4776.51
,,,,,394380017,4476.85
,,,,,412529669,5319.01
,,,,,347765857,5075.89
,,,,,321521008,5013.8
,,,,,512288780,5516.07
