Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2018,31043.8,31174.75,30855.6,30899.6,143943936,2473.7
02-JAN-2018,31022.85,31060.1,30554.3,30798.3,197622545,3664.29
03-JAN-2018,30932.35,31085.6,30900.9,30973.6,162447064,3297.48
04-JAN-2018,31074.1,31341.75,30971.55,31300.65,206645985,4133.69
05-JAN-2018,31428.65,31729.4,31423.75,31696.15,234822430,5237.43
08-JAN-2018,31764.9,31936.05,31763.5,31919.7,146210814,3569.8
09-JAN-2018,31968,31990.8,31651.75,31782.05,162371412,3716.54
10-JAN-2018,31829.9,31914.3,31614.1,31727.95,153747991,4170.81
11-JAN-2018,31731.95,31784.95,31584.05,31695.8,123218122,3079.6
12-JAN-2018,31786.75,31825,31382.7,31704.85,141247328,3822.06
15-JAN-2018,31783.15,31888.2,31604,31639.55,113938189,2902.7
16-JAN-2018,31719.05,31738.65,31036.6,31122.2,153975602,3563.7
17-JAN-2018,31126.5,31376.3,30653.35,31348.05,159535288,3814.71
18-JAN-2018,31520.1,31546.45,30687.25,30931.85,174765344,4114.37
19-JAN-2018,30953.4,31221.95,30786.35,31165.65,129400919,3219.7
22-JAN-2018,31207.25,31458.25,31082.15,31404.6,114475993,3328.95
23-JAN-2018,31483.85,31700.55,31470.2,31628.3,190955496,4820.22
24-JAN-2018,31538.9,31607.9,31316.25,31440.65,213735197,5637.38
25-JAN-2018,31511.35,31525.7,30949.05,31013.1,308038778,6646.53
29-JAN-2018,31132,31239.5,30836.75,30891.2,145255609,3906.77
30-JAN-2018,30852.75,30873.4,30664.3,30712.4,131797721,3483.16
31-JAN-2018,30644.4,30709.8,30277.55,30500.3,175160634,4595.05
01-FEB-2018,30605.4,30701.85,29950.8,30524.85,179503445,4960.83
02-FEB-2018,30253.5,30299.85,29454.2,29656.45,252792228,6163.53
05-FEB-2018,29250.2,29650,28954.4,29559.05,188466898,4406.7
06-FEB-2018,28366.8,29288.45,28171,29138.85,222241027,5164.41
07-FEB-2018,29527.15,29604.95,29251.4,29351.15,180709945,4139.65
08-FEB-2018,29453.25,29919,29429.6,29827.35,170325327,4203.5
09-FEB-2018,29285.45,29796.25,29280.35,29728.95,168570283,3856.57
12-FEB-2018,29986.1,30222.1,29930.65,30171.85,198553757,4307.72
14-FEB-2018,30337.45,30353.85,30005.25,30110.25,239708067,5141.99
15-FEB-2018,30184.45,30235.35,29778.4,29833.75,300688062,5550.74
16-FEB-2018,29967.6,30026.6,29381.55,29501.9,294682635,5405.2
19-FEB-2018,29560.85,29560.85,28971.35,29182.55,263669600,4666.68
20-FEB-2018,29211.9,29437.1,29081.1,29315.7,266466414,4653.92
21-FEB-2018,29465.2,29467.9,29096.85,29190.45,180167240,3743.67
22-FEB-2018,29150.35,29150.35,28871.3,28920.45,230583280,5130.12
23-FEB-2018,29035.55,29414.9,29010.9,29375.65,179740970,3922.65
26-FEB-2018,29554.9,29688.65,29500,29646.35,177680666,3824.59
27-FEB-2018,29717.9,29776.35,29453.85,29534.9,332974846,5295.21
28-FEB-2018,29349.8,29489.7,29229.2,29404,403814971,6073.23
01-MAR-2018,29416.4,29577.3,29169.65,29202.2,252690349,4130.88
05-MAR-2018,29107.1,29112.8,28743.9,28892.1,207201811,3939.65
06-MAR-2018,29092.4,29166.35,28523.15,28623.3,174634191,3801.3
07-MAR-2018,28579.15,28660.55,28249.95,28297.8,200135623,4023.67
08-MAR-2018,28477.5,28536.4,27968.15,28278.4,196608753,4168.07
09-MAR-2018,28412.6,28506.65,28234.3,28290,186370786,3693.1
12-MAR-2018,28514.35,28560.4,28278.2,28503.05,186607352,3574.69
13-MAR-2018,28492.8,28904.7,28447,28858.3,257182560,4713.95
14-MAR-2018,28720.1,28927.7,28677.05,28892.3,220128156,3938.23
15-MAR-2018,28887.65,29035.75,28850.2,28904.95,167794480,3574.54
16-MAR-2018,28868,28945.1,28605.8,28647.6,232511165,5156.14
19-MAR-2018,28729.05,28741.45,28124.9,28222.05,205943142,3860.28
20-MAR-2018,28082.65,28405.25,28055.7,28358.85,173315311,3504.43
21-MAR-2018,28492.8,28672.45,28418.8,28479.05,150386572,3240.16
22-MAR-2018,28483.75,28598.35,28336.3,28369.65,133091365,3112.39
23-MAR-2018,27949.05,28225.4,27892.35,28189.9,194035393,4045
26-MAR-2018,28232.55,28662.9,28194.35,28616.95,180898003,4077.36
27-MAR-2018,28801.8,28895.25,28683.95,28835.75,171865712,4089.24
28-MAR-2018,28734.5,28848.65,28428.55,28545.25,242619429,6409.33
02-APR-2018,28718.9,29148.25,28635.05,29114.25,,
03-APR-2018,29120.4,29482.6,29088.1,29455.55,158638003,3861.43
04-APR-2018,29535.4,29610.85,29075.5,29119.55,168404230,3797.38
05-APR-2018,29422.3,29685.4,29408.3,29645.2,152969518,3796.94
