Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2019,4939.6,4942,4902.55,4927.35,126018919,2246.59
02-JAN-2019,4917.55,4938.15,4849.5,4860.05,200322003,3543.69
03-JAN-2019,4863.75,4884.3,4798.5,4806,180126008,3096.13
04-JAN-2019,4817.15,4853.4,4785.3,4847.7,234011742,4004.21
07-JAN-2019,4879.8,4885.35,4838.05,4849.15,214413208,3481.54
08-JAN-2019,4854.45,4865.7,4833.25,4862.5,185500695,3360.57
09-JAN-2019,4880.4,4887,4827.35,4863.1,222018998,3432.17
10-JAN-2019,4862.95,4891.2,4854.5,4880.65,161609192,2827.37
11-JAN-2019,4882.65,4888.8,4851.35,4875.7,140240351,2747.24
14-JAN-2019,4864.6,4865.8,4825.35,4859.1,170883294,2997.92
15-JAN-2019,4871.75,4899.05,4870,4895.1,159291176,2929.61
16-JAN-2019,4894.5,4923.95,4883.05,4890.15,182904618,3151.55
17-JAN-2019,4902.6,4909.55,4849.15,4875.6,222179392,4275.85
18-JAN-2019,4888.35,4888.95,4844.65,4853.3,156125418,2904.85
21-JAN-2019,4860.55,4878.5,4817.8,4828.3,166884454,3262.03
22-JAN-2019,4818.55,4820.45,4765.25,4815.95,187867097,4217.66
23-JAN-2019,4821.1,4838.25,4789.1,4795.85,157851306,3226.13
24-JAN-2019,4802.65,4813.7,4778.45,4791.1,139022884,2638.65
25-JAN-2019,4806.3,4815.95,4691.4,4712.6,296979516,3960.64
28-JAN-2019,4715.75,4717,4605.4,4614.1,367896646,3874.8
29-JAN-2019,4594.65,4664.35,4586.4,4645.7,324088717,4413.81
30-JAN-2019,4655.45,4672.5,4622,4661.4,286988119,4315.14
31-JAN-2019,4681.6,4703.4,4627.35,4689.1,417982738,5959.51
01-FEB-2019,4701.65,4764.1,4665.45,4719.85,327116573,5146.25
04-FEB-2019,4710.7,4710.7,4640.25,4680.7,423822745,5572.67
05-FEB-2019,4681.4,4707.9,4611.15,4632,583610482,5978.27
06-FEB-2019,4629.05,4637.7,4561.05,4622.6,644282342,7063.55
07-FEB-2019,4622.3,4683.55,4615.9,4658.25,642699268,5773.16
08-FEB-2019,4640.95,4655.15,4560.1,4568.75,474671182,4689.41
11-FEB-2019,4561.65,4564.55,4481.4,4492.1,320265395,4331.32
12-FEB-2019,4497.4,4524.45,4483.65,4503.85,329310894,4348.95
13-FEB-2019,4523.85,4536.45,4464.4,4476.65,301476161,3740.31
14-FEB-2019,4468.45,4514.85,4450.65,4507,391170486,4397.02
15-FEB-2019,4506.5,4506.5,4409.2,4445.25,305489553,4226.65
18-FEB-2019,4448.1,4453.7,4401.9,4405.35,378700670,3822.88
19-FEB-2019,4406.2,4473.1,4406.2,4429.25,307541980,3557.19
20-FEB-2019,4451,4473.25,4432.7,4468.05,285620772,3794.26
21-FEB-2019,4489.45,4520.25,4470.7,4512.65,378060240,4282.19
22-FEB-2019,4512.55,4543.95,4508.55,4540.95,343902006,3754.77
25-FEB-2019,4555.8,4573.5,4539.7,4564.7,270101910,3675.61
26-FEB-2019,4524,4588.9,4458.6,4565.25,322586505,3976.92
27-FEB-2019,4591.7,4653.85,4551.4,4583.05,312412241,4116.82
28-FEB-2019,4602.7,4616.65,4568.7,4608.9,368449403,4438.91
01-MAR-2019,4625.35,4700.2,4622.6,4697.25,484665990,4254.01
05-MAR-2019,4703.35,4815.05,4695.4,4812.15,463878110,5089.89
06-MAR-2019,4840.2,4868.55,4819.9,4847.25,435540525,5670.64
07-MAR-2019,4861.7,4861.7,4812.8,4820.45,391970637,4636.27
08-MAR-2019,4816.05,4828.05,4773.45,4795.5,285064114,3561.75
11-MAR-2019,4812.3,4916.9,4810.95,4912.1,328983746,4754.72
12-MAR-2019,4940.25,4957.55,4904.15,4917.95,314808584,4695.96
13-MAR-2019,4921.25,4927.45,4877.65,4884.6,277084426,4242.75
14-MAR-2019,4898.55,4915.5,4860.1,4890.1,332313022,4577.21
15-MAR-2019,4906.2,4948.15,4904.75,4932.8,525505111,7185.98
18-MAR-2019,4955.2,4968.4,4907,4923,377101310,3936.4
19-MAR-2019,4946.85,4975.65,4922.95,4962.95,458802574,5572.31
20-MAR-2019,4971.65,4971.8,4924.75,4934.25,361088725,4540.69
22-MAR-2019,4945.05,4965.9,4891.55,4897.45,317279884,4128.4
25-MAR-2019,4860.95,4894.15,4839.5,4884.7,331600164,4401.27
26-MAR-2019,4897.35,4964.5,4893,4956.45,448049873,5093.32
27-MAR-2019,4978.05,5015.35,4968.05,4974.1,423860778,4957.85
28-MAR-2019,4986.8,5044.4,4983.3,5024.85,470616187,6098.8
29-MAR-2019,5048.5,5099.85,5042.45,5077.85,423231838,6132.9
01-APR-2019,5098,5134.3,5084.9,5096.9,342934430,5233.33
02-APR-2019,5109.3,5122.9,5071.45,5102.85,355002173,5150.43
03-APR-2019,5119.05,5137.45,5025.25,5036.15,314103244,4786.28
04-APR-2019,5045.3,5061.3,5007.45,5026.5,287164203,4671.54
