Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JAN-2022,20825.9,21053,20823.95,21031.1,103503378,7817.78
04-JAN-2022,21114.1,21138.2,20877.35,21107.4,150978894,9745.28
05-JAN-2022,21079.4,21098.4,20895.35,21018.15,110286384,10385.84
06-JAN-2022,20839.1,20975.3,20763.2,20948.1,130522073,10742.09
07-JAN-2022,21039.55,21157.4,20887.85,21008.1,134623215,11347.13
10-JAN-2022,21102.25,21179.35,20976.15,21163.8,119264565,10167.57
11-JAN-2022,21163.35,21292.8,21135.25,21241.5,122213585,10447.98
12-JAN-2022,21378.5,21415.05,21281.85,21394.1,125933213,10008.68
13-JAN-2022,21406.1,21514.7,21220.4,21502.2,179630518,13977.78
14-JAN-2022,21419.8,21499.75,21321.6,21456.1,136119681,11448.04
17-JAN-2022,21491.1,21554.05,21403.7,21536.5,137686527,10050.76
18-JAN-2022,21577.2,21618.7,20953.55,21009.7,122166390,10774.16
19-JAN-2022,20951.85,20974.25,20690.6,20891.85,167550917,12484.49
20-JAN-2022,20915.45,20982.5,20740.45,20854.5,127877202,11213.96
21-JAN-2022,20697.45,20707.5,20186.95,20313.95,141219563,12265.29
24-JAN-2022,20282.65,20291.2,19242.3,19421.45,170621236,13216.8
25-JAN-2022,19145.35,19655.05,18946.75,19628.45,173869342,13776.26
27-JAN-2022,19383.8,19390.35,18964.35,19228.2,190108301,14858.78
28-JAN-2022,19418.7,19847.75,19418.7,19455.85,186770736,15332.87
31-JAN-2022,19770.55,19959.05,19698.85,19897.25,170707282,12941.11
01-FEB-2022,20091,20119.5,19676,20069.8,225619224,13786.82
02-FEB-2022,20167.55,20347.75,20148.35,20325.2,119523502,9856.69
03-FEB-2022,20303.05,20312.85,20033.3,20084.25,118732046,8985.36
04-FEB-2022,20095.75,20256.9,19981.6,20097.65,142943404,9666.68
07-FEB-2022,20111.75,20213.5,19704.75,19788.85,161507869,10613.15
08-FEB-2022,19875.7,19948.8,19434.85,19705.9,197895805,11422.27
09-FEB-2022,19840.95,20116.7,19815.45,20087.15,130341799,9066.43
10-FEB-2022,20183.85,20248.3,20046.25,20228.45,137166988,8494.66
11-FEB-2022,20023.95,20037.45,19679.9,19726.05,120547839,9097.72
14-FEB-2022,19284.05,19431.3,18982.25,19038.5,156036426,10655.44
15-FEB-2022,19201.55,19841.15,19029.6,19810.75,148279023,10276.06
16-FEB-2022,19932,19980,19656.7,19717.95,125735117,8666.55
17-FEB-2022,19857.35,19923.6,19606.7,19639.1,112647212,7625.43
18-FEB-2022,19509.65,19702.85,19482.05,19500.9,89172499,6637.61
21-FEB-2022,19401.95,19586.2,19179.9,19396,109208807,7923.1
22-FEB-2022,18867.95,19357.05,18865.05,19317.5,151296134,10863.4
23-FEB-2022,19455.55,19540.45,19339.5,19384.75,104740281,7944.01
24-FEB-2022,18731.15,18931.35,18226.95,18266.6,253879254,16514.92
25-FEB-2022,18706.85,19147,18687.15,19071.15,197175770,13040.32
28-FEB-2022,18863.05,19369.55,18709,19335.2,177309787,13531.49
02-MAR-2022,19224,19377.25,19126.4,19285.65,160505451,11279.48
03-MAR-2022,19533.9,19570,19233.25,19285.4,197915535,13348.43
04-MAR-2022,19089.1,19187.9,18820.5,18866.85,188073822,13159.39
07-MAR-2022,18502.3,18622.85,18300.8,18531.05,194066257,12760.09
08-MAR-2022,18539.8,18824.45,18431.9,18803.25,224233705,13905.05
09-MAR-2022,18893.05,19219.6,18843.6,19112.4,187463791,13037.92
10-MAR-2022,19543.65,19544.4,19244.7,19404.5,198216088,14199.89
11-MAR-2022,19347.75,19461.8,19252.2,19436.75,142661760,9225.24
14-MAR-2022,19422.95,19659.85,19403.85,19642.55,137337952,10440.83
15-MAR-2022,19689.75,19734.1,19224.7,19356.15,152398577,11635.35
16-MAR-2022,19640.45,19741.95,19589.85,19732.3,109680572,9000.66
17-MAR-2022,19964.5,20097,19908.85,19978.6,156542973,14803.12
21-MAR-2022,20081.4,20127.65,19841.45,19863.9,131530003,9832.55
