Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,27421.3,27623.8,27379.7,27435.95,241140450,7862.25
02-JAN-2024,27561.6,27572.6,27118.75,27402.5,291126444,11125.47
03-JAN-2024,27385,27602.2,27199.75,27514.7,260141720,9478.24
04-JAN-2024,27648.65,27883.85,27627.9,27831.1,246726273,11156.24
05-JAN-2024,28009.6,28073.3,27682.4,27870.1,212530491,10184.28
08-JAN-2024,28012.3,28012.3,27738.6,27765.9,165903315,7285.8
09-JAN-2024,28059.35,28088.6,27806.1,27850.4,167698549,11620.75
10-JAN-2024,27897.05,27903.5,27517.7,27821.45,207721593,9542.52
11-JAN-2024,27863.4,27946.85,27760.05,27816.95,165773340,15206.38
12-JAN-2024,27904.25,27938.25,27742.95,27881.35,178918046,9233.49
15-JAN-2024,28078.6,28170.1,27852.95,28136,194866438,9300.75
16-JAN-2024,28182.35,28228.65,27728.9,27975.4,210390316,9499.94
17-JAN-2024,27776.15,28014.6,27633.85,27716.7,312569463,10914.38
18-JAN-2024,27701.75,27791.95,27038.45,27739.1,286180230,12397.94
19-JAN-2024,27962.8,28282.85,27913.65,28256.3,314872071,10910.85
20-JAN-2024,28409.8,28441.2,28225.7,28244.4,188018863,6267.92
23-JAN-2024,28475.3,28480.65,27317.1,27495.15,342224707,14544.34
24-JAN-2024,27576.35,28185.2,27236.75,28153,285824736,13263.93
25-JAN-2024,28355.95,28359.25,28053.1,28298.1,291762094,12368.77
29-JAN-2024,28412.6,28984.75,28341.25,28944.7,333688967,13026.82
30-JAN-2024,29063.25,29127.2,28706.4,28745.85,274269201,11532.95
31-JAN-2024,28712.7,29073.25,28676.4,29048.5,303106993,15488.56
01-FEB-2024,29199.5,29226.9,28678.35,28845.15,316307878,13453.05
02-FEB-2024,29012.8,29375.15,29003.25,29173.95,394821990,14923.51
05-FEB-2024,29389.75,29678.55,29157.4,29305.9,334259444,14996.4
06-FEB-2024,29438,29563.95,29234.95,29551.25,194470336,9572.73
07-FEB-2024,29704.25,29966.25,29407.9,29913.15,212095458,11265.28
08-FEB-2024,30172.7,30285.5,29950.3,30103.05,260618390,15173.6
09-FEB-2024,30144.4,30188.25,29145.9,29718.9,314396781,14879.4
12-FEB-2024,29808.6,29822.95,29016.95,29121,263555289,13323.4
13-FEB-2024,29228.85,29453.4,28973.15,29398.55,285412972,12187.34
14-FEB-2024,29157.75,29928.6,29016.35,29832.5,230276659,9917.93
15-FEB-2024,30033.55,30194.55,29917.65,30171.15,297110018,11300.95
16-FEB-2024,30361.95,30592.05,30312.15,30515.2,277585314,13124.02
19-FEB-2024,30680.75,30776.9,30362.5,30396.55,161329477,8202.94
20-FEB-2024,30421.3,30454.1,30118.5,30238.65,179753504,8825.09
21-FEB-2024,30336.65,30376.4,29727.95,29829.25,198697995,9323.57
22-FEB-2024,29995.5,30287.6,29616.25,30231.3,204327931,9569.4
23-FEB-2024,30306.45,30433.05,30207.3,30328.65,219914041,8800.98
26-FEB-2024,30324.1,30408.45,30153.95,30274.75,167014129,9943.23
27-FEB-2024,30252.2,30424.5,30106.6,30256.95,187698183,9452.35
28-FEB-2024,30308,30376.45,29709.05,29850.65,227388994,9959.02
29-FEB-2024,29848.7,30121.35,29550,29990.8,813343091,23406.65
01-MAR-2024,30127.8,30522.45,30119,30489.2,190223757,9783.53
02-MAR-2024,30654.9,30757.7,30526.75,30678.5,16097780,902.34
04-MAR-2024,30801.65,31267.25,30755.2,31125.65,440204124,15714.88
05-MAR-2024,31209.35,31333.4,31062.95,31258.9,287759565,15435.47
06-MAR-2024,31364.15,31407.15,30718.8,31231.6,327492608,13014.73
07-MAR-2024,31305.15,31640.65,31273.25,31479.15,200123038,10645.95
11-MAR-2024,31655.05,31675.8,31350.45,31422.6,200881003,11266.19
12-MAR-2024,31440.3,31500.75,30850.75,30947.75,207923415,9329.12
13-MAR-2024,30953.3,31018.3,29366.75,29639.7,309586037,13745.14
14-MAR-2024,29512.6,30162.4,29368.15,30106.35,284653928,13589.37
15-MAR-2024,30079.2,30159.45,29053,29585.45,413562276,17771.49
18-MAR-2024,29558.9,29816.15,29443.85,29708.5,185163410,8327.7
19-MAR-2024,29648.15,29699.85,29141,29213.3,194760498,8758.11
20-MAR-2024,29329.95,29483.65,28818.3,29215.7,186646690,9219.63
21-MAR-2024,29488.65,30047.3,29479.7,30005.3,247050376,11382.03
22-MAR-2024,29945.4,30382,29830.45,30231.25,192068030,10372.4
26-MAR-2024,30103.2,30559.95,30103.2,30505.7,156236130,8957.83
27-MAR-2024,30632.9,30671.7,30365.55,30397,265253638,12385.64
28-MAR-2024,30510.3,30924.6,30456.25,30781.15,180828356,11208.42
01-APR-2024,31060.25,31292.55,31028.05,31204.75,185671305,9683.38
02-APR-2024,31328.9,31455.85,31159,31430.4,237304283,11896.2
03-APR-2024,31379.1,31544.45,31242.3,31518.6,275936992,11198.3
04-APR-2024,31731.7,31748.1,31256.75,31479.65,239151750,11483.92
05-APR-2024,31478.35,31589,31380.75,31534.6,151695517,7971.66
08-APR-2024,31663.9,31676.05,31458.65,31590.7,158461434,8125.78
09-APR-2024,31736.3,31748.85,31248.1,31378.2,151967559,7661.23
10-APR-2024,31503.45,31743.2,31467.7,31631.9,238364685,9936.23
12-APR-2024,31612.4,31888.65,31485.3,31527,232679487,11766.44
15-APR-2024,31110.2,31423.1,30839.85,31145.35,227705886,11222.47
16-APR-2024,30983.35,31284.45,30810.15,31146.5,184504047,9873.52
