Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2023,4351.7,4393.05,4336,4386.05,92913162,1345.32
03-JAN-2023,4395.95,4416.6,4389.4,4402.3,127741467,1568.48
04-JAN-2023,4412.7,4417.35,4338.15,4356.9,132947723,1944.07
05-JAN-2023,4373.05,4378.1,4329.7,4358.65,102086502,1699.46
06-JAN-2023,4364.65,4366.6,4308.4,4326.95,90690971,1761.45
09-JAN-2023,4353.35,4372,4334.75,4342.2,90474078,1978.99
10-JAN-2023,4348.75,4351.05,4310.9,4321.6,94850555,1368.5
11-JAN-2023,4335.6,4353.05,4325.15,4330.95,115690885,1544.58
12-JAN-2023,4345.35,4351.3,4302.65,4327.1,91582476,1478.01
13-JAN-2023,4336.85,4347.1,4316.35,4341,94257160,1518.61
16-JAN-2023,4359.15,4371.95,4334.8,4338.4,194312128,1816.22
17-JAN-2023,4343.25,4357.3,4317.15,4337.55,151035536,1815.22
18-JAN-2023,4345.55,4364,4332.4,4338.15,98021240,1520.23
19-JAN-2023,4325.05,4335.8,4308.4,4315.7,73275150,1132.09
20-JAN-2023,4323.55,4327.9,4284.65,4288.65,72814694,1484.09
23-JAN-2023,4309.8,4317.3,4287,4311.4,75286185,1517.75
24-JAN-2023,4324.45,4331.45,4296.1,4302.6,88846929,2293.66
25-JAN-2023,4300.55,4303.9,4239.05,4252.7,79814525,1559.94
27-JAN-2023,4269.05,4286.1,4142.9,4186.2,124483806,1962.39
30-JAN-2023,4183.05,4235.05,4155.45,4181,100097982,1628.36
31-JAN-2023,4189.7,4308.15,4180.3,4297.15,107803784,2093.76
01-FEB-2023,4328.3,4360.55,4186.55,4238.8,131046730,2373.33
02-FEB-2023,4208.4,4305.4,4206.5,4276.15,151784753,2559.32
03-FEB-2023,4285.3,4295.6,4202.1,4252.15,146620936,2223.44
06-FEB-2023,4250.5,4293.1,4246.8,4278.45,108390644,1881.84
07-FEB-2023,4290.9,4292.15,4235.4,4244.85,86545848,1600.04
08-FEB-2023,4246.05,4280.3,4240.45,4272.75,93696973,1844.94
09-FEB-2023,4280.55,4286.3,4255.2,4281.05,83992155,1676.38
10-FEB-2023,4273.65,4313.05,4270.5,4306.25,92364557,1686.17
