Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
,,,,,254285056,2801.9
,,,,,279097435,3034.55
,,,,,192940131,2937.18
,,,,,202257288,2978.56
,,,,,222018797,3153.17
,,,,,228094335,3231.59
,,,,,278385691,3830.76
,,,,,194910067,3617.05
,,,,,217679507,3430.77
,,,,,277297774,3878.39
,,,,,220534118,3988.58
,,,,,211374857,3726.65
,,,,,204280137,3211.48
,,,,,212988513,3324.38
,,,,,150005925,2347.33
,,,,,127086373,2113.16
,,,,,160772611,2967.75
,,,,,167602838,2863.98
,,,,,148197416,2438.44
,,,,,125332446,1947.58
,,,,,121415026,1993.61
,,,,,139725611,2273.99
,,,,,216144422,3859.52
,,,,,256723144,3921.03
,,,,,203317204,2798.79
,,,,,222288377,3270.06
,,,,,152636403,2625.36
,,,,,140157711,2449.25
,,,,,152622155,2715.78
,,,,,148576805,2561.41
,,,,,167760425,2908.52
,,,,,141737260,2629.64
,,,,,121781934,2307.33
,,,,,133442564,2217.04
,,,,,105628814,1748.86
,,,,,109017731,1804.65
,,,,,139736739,2149.26
,,,,,101264187,1863.27
,,,,,155913971,2480.96
,,,,,122060167,1985.83
,,,,,106212028,1805.52
,,,,,99183896,1661.59
,,,,,101704743,1927.93
,,,,,100054986,1852.65
,,,,,150205073,2228.45
,,,,,141278321,2290.77
,,,,,124080499,1861.33
,,,,,188738917,1991.3
,,,,,235903176,2494.14
,,,,,140425785,1890.94
,,,,,145901750,1998.09
,,,,,176969915,2490.77
,,,,,126608887,1661.96
,,,,,135861349,1711.28
,,,,,132835190,2004.36
,,,,,200679232,1846.65
,,,,,214516993,1899.64
,,,,,158145356,1963.81
,,,,,137088421,1953.67
,,,,,155695140,2110.72
,,,,,305435715,3452.67
,,,,,337039558,3822.55
,,,,,384928153,2971.71
,,,,,372402302,2866.44
,,,,,218007707,2353.89
,,,,,225087561,1955.41
,,,,,281620784,2164.8
,,,,,182420546,2132.7
,,,,,209480001,2390.28
,,,,,231772876,2295.58
,,,,,208593098,2526.53
,,,,,239354522,2305.32
,,,,,254844073,2960.42
,,,,,196701302,2475.16
,,,,,168398934,2332.39
,,,,,261022159,2470.04
,,,,,262156672,2964.36
,,,,,267846889,2363.64
,,,,,202205825,2184.08
,,,,,208256540,2251.13
,,,,,321045972,2837.65
,,,,,221512734,2485.24
,,,,,199861412,2321.6
,,,,,173638333,2155.55
,,,,,199054360,2393.39
,,,,,153833406,2721.36
,,,,,232163491,2626.98
,,,,,222762381,2819.89
,,,,,255323601,2501.41
,,,,,298907047,3447
,,,,,415016120,3750.9
,,,,,715909719,4196.13
,,,,,955107438,3906.37
,,,,,616983459,2943.16
,,,,,524030564,2776.61
,,,,,264548628,2302.02
,,,,,275323705,2606.5
,,,,,290461508,2720.03
,,,,,281356218,2648.06
,,,,,331919779,2794.04
,,,,,491354842,2623.53
,,,,,593253094,3316.59
,,,,,408090350,2707.61
,,,,,229196403,1944.25
,,,,,287818197,1984.3
,,,,,411818570,2899.26
,,,,,288632139,2129.32
,,,,,226686767,2295.28
,,,,,171438628,1677.22
,,,,,240911174,2001.37
,,,,,223572915,1867.86
,,,,,197228613,1596.35
,,,,,208040216,1955.6
,,,,,255964660,1582.9
,,,,,374824700,2010.7
,,,,,328419881,1933.33
,,,,,199528919,1636.1
,,,,,177742949,1639.12
,,,,,181193397,1624.51
,,,,,204386541,1787.29
,,,,,294176917,1824.73
,,,,,336586413,2301.75
,,,,,233848680,1965.01
,,,,,212276794,1909.92
,,,,,164952308,1849.04
,,,,,181668460,1621.9
,,,,,180104394,1619.31
,,,,,161518017,1717.52
,,,,,169852365,1584.49
,,,,,163900109,1708
,,,,,153137713,1661.5
