Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2021,3545.35,3598.1,3545.25,3579.95,65390043,1669.68
04-JAN-2021,3606.7,3636.2,3581.6,3632.15,93414880,2452.09
05-JAN-2021,3620.35,3663,3593.95,3659.75,220601266,2686.53
06-JAN-2021,3677.5,3700.5,3618.6,3656.5,170255947,2536.63
07-JAN-2021,3695.15,3725.35,3693.7,3709.95,250287444,2830.35
08-JAN-2021,3753.55,3764.25,3720.65,3732.05,238713225,2667.02
11-JAN-2021,3768.5,3786.55,3729.05,3739.65,151505522,2646.15
12-JAN-2021,3754.25,3765.1,3736.95,3749.8,158616443,2105.73
13-JAN-2021,3774.15,3792.25,3710.2,3754.15,136907324,3782.64
14-JAN-2021,3771,3789.65,3731.25,3780.1,119847337,4115.68
15-JAN-2021,3799.8,3810.5,3714.1,3738.05,118021905,2761.75
18-JAN-2021,3745.65,3749,3649.95,3675.75,79998046,2753.9
19-JAN-2021,3706.1,3752.75,3702.95,3747.2,85289815,2329.91
20-JAN-2021,3769.55,3793.75,3765.6,3777.55,90508715,2559.53
21-JAN-2021,3803.6,3817.65,3733.55,3748.4,92392886,2923.17
22-JAN-2021,3766.85,3796.15,3726.3,3743.5,89414397,2767.89
25-JAN-2021,3783.5,3800.25,3654.25,3700.45,69007770,2030.88
27-JAN-2021,3701.8,3737.9,3671.25,3706.85,75137089,2564.29
28-JAN-2021,3659.8,3707.05,3643.4,3685.4,91222072,2443.93
29-JAN-2021,3723.2,3739.1,3648.45,3656.7,81296404,1892.13
01-FEB-2021,3676.8,3739.85,3629.75,3732.7,108627369,2736.13
02-FEB-2021,3770.45,3802.75,3763.95,3786.1,102824214,2726.57
03-FEB-2021,3813.4,3855.1,3771.5,3838.9,87984196,2988.85
04-FEB-2021,3853.75,3908.55,3840.7,3899.05,140904648,3471.24
05-FEB-2021,3931.1,3946.3,3899.4,3911.6,112411569,3187.16
