Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JAN-2022,5342.9,5420.35,5342.05,5414.7,142731296,3020.56
04-JAN-2022,5438.75,5452.5,5387.8,5426.25,140486343,3449.96
05-JAN-2022,5423.4,5434.4,5377.4,5420.1,157900785,2882.66
06-JAN-2022,5372.55,5419.8,5352.9,5412.25,229964763,2954.94
07-JAN-2022,5437.7,5457.1,5380.4,5404.1,153070158,2636.6
10-JAN-2022,5434.75,5490.45,5425.2,5478.15,283481383,3119.98
11-JAN-2022,5483.25,5505.05,5450,5464.35,221819841,2643
12-JAN-2022,5500.1,5517.85,5476.15,5500.1,135968624,2964.67
13-JAN-2022,5518.6,5548.95,5502.95,5534.5,160446756,3260.25
14-JAN-2022,5523.9,5562.3,5499,5553.65,162203525,2808.29
17-JAN-2022,5571.5,5592.4,5543.05,5572.7,299055010,3243.41
18-JAN-2022,5598.15,5607.6,5424.15,5438.9,238576759,3438.01
19-JAN-2022,5430.6,5457.75,5363.05,5452.8,304578475,3652.82
20-JAN-2022,5456.15,5473,5400.15,5415.85,193505141,2596.3
21-JAN-2022,5386,5402.8,5251.2,5282.05,171286417,2763.66
24-JAN-2022,5265.85,5272.65,4986.35,5028.15,195071070,3124.56
25-JAN-2022,4976.1,5121.75,4883.6,5087.2,175726944,2837.69
27-JAN-2022,5053.65,5086.85,4986.75,5036.8,216491516,3083.85
28-JAN-2022,5082.4,5188.95,5081.05,5089.05,264810742,3673.76
31-JAN-2022,5157.2,5175.6,5104.8,5161.8,210473325,2957.5
01-FEB-2022,5210.1,5222.95,5117.55,5193.2,187239800,2924.21
02-FEB-2022,5231.1,5292.1,5230.1,5276.85,188119388,2737.4
03-FEB-2022,5295.9,5300,5245.05,5252.15,208900951,2866.45
04-FEB-2022,5246.3,5258.2,5147.8,5159,139284993,2564.49
07-FEB-2022,5156.95,5160.15,5045.8,5059.3,108752728,2086.54
08-FEB-2022,5077.25,5103.15,4937.55,4979.4,132684733,2424.67
09-FEB-2022,5011.65,5035.3,4984.5,5013.65,142808635,2426.26
10-FEB-2022,5038.45,5077.15,5004.75,5064.9,168339423,2438.67
11-FEB-2022,5023.6,5039.65,4938.3,4946.45,134018260,2038.7
14-FEB-2022,4811.65,4862.65,4719.45,4733.3,139364699,2183.88
15-FEB-2022,4767,4850.8,4681.75,4843.75,149758710,2299.41
16-FEB-2022,4900.3,4914.75,4851.2,4863.65,128244660,2220.38
17-FEB-2022,4891.3,4903.7,4803.25,4811.15,77487103,1442.46
18-FEB-2022,4784.65,4814.95,4748.95,4755.6,80506980,1336.93
21-FEB-2022,4730.3,4736.25,4608.45,4620.2,126263455,2219.34
22-FEB-2022,4475.15,4541.4,4466.35,4519.45,163634665,2658.52
23-FEB-2022,4571.85,4612.4,4543.8,4552.05,105692641,1781.11
24-FEB-2022,4383.05,4423.2,4230.15,4254,223654149,3407.87
25-FEB-2022,4370.95,4484.3,4367.75,4463.5,175095927,2443.94
28-FEB-2022,4420.75,4518.95,4368.45,4514.6,132751020,2287.02
02-MAR-2022,4477.9,4578.1,4467.25,4553.45,112928783,2283.59
03-MAR-2022,4620.25,4643.4,4556.7,4570.8,98716241,1959.43
04-MAR-2022,4546.9,4562.25,4480.05,4497.2,104939763,2160.7
07-MAR-2022,4407.1,4439.9,4356.25,4427.4,124227028,2462.53
08-MAR-2022,4438.25,4504.85,4419.75,4493.85,117530178,2454.73
09-MAR-2022,4546.15,4611.1,4527.45,4600.55,146968371,2625.21
10-MAR-2022,4719,4719.4,4648.15,4673.6,136445263,2880.84
11-MAR-2022,4664.25,4743.75,4649.95,4707.75,111363410,3114.35
14-MAR-2022,4726.25,4742.8,4679.15,4711.75,91389431,2151.02
15-MAR-2022,4741.8,4760.75,4631.3,4650.8,151038875,2932.24
16-MAR-2022,4712.75,4729.85,4692.35,4715.55,99149514,2091.15
17-MAR-2022,4775.55,4790.85,4754.5,4768.75,122755923,2866.71
21-MAR-2022,4802.7,4813.75,4758.25,4783.15,131025391,2353.46
22-MAR-2022,4795.3,4814.75,4750.95,4809.45,152123256,2723.93
23-MAR-2022,4844.75,4862.95,4799.35,4807.75,138912939,2347.03
24-MAR-2022,4797.6,4842.1,4790.05,4832.6,174907227,2542.31
25-MAR-2022,4862.35,4871.3,4799.1,4804.5,134120379,3024.34
